product_id,title,description,price,stock,category,condition,media_refs,updated_at
P001,iPhone 13 Pro 128GB 石墨色,9成新iPhone 13 Pro，128GB存储，石墨色。外观轻微使用痕迹，功能完好，电池健康度92%。原装充电器和数据线齐全，无盒子。,4299.00,1,手机数码,9成新,M001.jpg;M002.jpg;M003.jpg,2026-09-01T10:30:00Z
P002,小米空气净化器 Pro H,全新未拆封小米空气净化器Pro H，适用60平米空间，三层滤网，智能互联。京东自营采购，质保2年。,1299.00,2,家用电器,全新,M004.jpg;M005.jpg,2026-09-02T14:20:00Z
P003,耐克 Air Max 270 运动鞋,95新耐克Air Max 270，US 9码（EU 42.5），黑白配色。轻微穿着痕迹，鞋底无磨损，已清洗消毒。,599.00,1,服饰鞋包,95新,M006.jpg;M007.jpg;M008.jpg,2026-09-01T16:45:00Z
P004,戴森吹风机 HD08,99新戴森吹风机，购买3个月，仅用过5次左右。功能完好，配件齐全（顺滑风嘴、造型风嘴、扩散风嘴）。,1899.00,1,个护化妆,99新,M009.jpg;M010.jpg,2026-09-03T09:15:00Z
P005,索尼 WH-1000XM4 降噪耳机,9成新索尼降噪耳机，黑色。音质和降噪效果优秀，耳罩轻微磨损已更换原厂新耳罩。含原装收纳盒和充电线。,1599.00,1,手机数码,9成新,M011.jpg;M012.jpg,2026-09-02T11:00:00Z
P006,宜家马尔姆双人床架,95新宜家马尔姆床架，1.8m x 2.0m，白色。同城自提，已拆卸。无磕碰，螺丝配件齐全。,399.00,1,家具家居,95新,M013.jpg;M014.jpg,2026-08-30T15:30:00Z
P007,任天堂 Switch OLED 游戏机,全新未激活，国行任天堂Switch OLED版，白色。京东618购买未拆封，可验机后交易。,2099.00,1,手机数码,全新,M015.jpg;M016.jpg;M017.jpg,2026-09-04T10:00:00Z
P008,飞利浦电动牙刷 HX9903,99新飞利浦电动牙刷，钻石系列，玫瑰金色。使用1个月，赠送3个全新刷头。,699.00,1,个护化妆,99新,M018.jpg;M019.jpg,2026-09-03T14:30:00Z
P009,小米电视 65英寸 4K,95新小米电视，65英寸4K屏幕。购买1年，无坏点，同城自提或闪送。含原装遥控器和底座。,2299.00,1,家用电器,95新,M020.jpg,2026-09-01T13:20:00Z
P010,优衣库摇粒绒外套 L码,全新吊牌，优衣库男款摇粒绒外套，L码，深蓝色。尺码不合适转让。,149.00,1,服饰鞋包,全新,,2026-09-02T16:00:00Z
